70710885;https://savegnago.vteximg.com.br/arquivos/ids/284377_2;Cerveja Martina Witbier 600ml;Bebidas;13.29;Martina
70713414;https://savegnago.vteximg.com.br/arquivos/ids/284786_2;Sabonete Liquid Anti Bacteriano Maos Protex 250ml Vitamina E;Perfumaria E Beleza;11.98;Protex
70706699;https://savegnago.vteximg.com.br/arquivos/ids/275541_2;Cookie Jasmine 150g Integ Limao;Mercearia;6.99;Jasmine
70715255;https://savegnago.vteximg.com.br/arquivos/ids/273300_2;Locao Hidrat Paixao 200ml Paixao Irresist;Perfumaria E Beleza;9.95;Paixão
70704503;https://savegnago.vteximg.com.br/arquivos/ids/264263_2;Salada 02 Horticultura Felicio 180g;Hortifruti;4.50;Hf
70707846;https://savegnago.vteximg.com.br/arquivos/ids/444384_2;Sorvete Jundia 2l Flocos;Laticínios;19.98;Jundiá
70712370;https://savegnago.vteximg.com.br/arquivos/ids/273028_2;Brinquedo Nerf N-Strike Elite Firestrike;Bazar E Utilidades;133.90;Elite
70712301;https://savegnago.vteximg.com.br/arquivos/ids/280323_2;Macarrao De Cecco 500g Rigatoni N24;Mercearia;12.90;De Cecco
70712434;https://savegnago.vteximg.com.br/arquivos/ids/272808_2;Sobremesa Chandelle 360gr Chocolate Branco;Laticínios;5.99;Chandelle
70704939;https://savegnago.vteximg.com.br/arquivos/ids/287892_2;Gergelim Mae Terra 200g Integral;Mercearia;6.99;Mãe Terra
70711774;https://savegnago.vteximg.com.br/arquivos/ids/295014_2;Esmalte Colorama Crem Black;Perfumaria E Beleza;6.39;Colorama
70707047;https://savegnago.vteximg.com.br/arquivos/ids/448203_2;Sorvete Ski Cream 400ml Napolitano;Laticínios;7.90;Skimoni
70703757;https://savegnago.vteximg.com.br/arquivos/ids/288740_2;Cerveja Itaipava 350ml Lata Malzebier;Bebidas;3.29;Itaipava
70703638;https://savegnago.vteximg.com.br/arquivos/ids/296919_2;Biscoito Wafer Garoto 110g Chocolate;Mercearia;1.59;Garoto
70711931;https://savegnago.vteximg.com.br/arquivos/ids/270642_2;Caldo Po Kitano 37,5g Carne;Mercearia;1.29;Kitano
70705229;https://savegnago.vteximg.com.br/arquivos/ids/274315_2;Hamburguer Angus Seara 400g Gourmet;Frios E Congelados;21.39;Seara
70704996;https://savegnago.vteximg.com.br/arquivos/ids/283007_2;Cafe Do Ponto 250g Safra Especial;Mercearia;9.19;Do Ponto
70704257;https://savegnago.vteximg.com.br/arquivos/ids/290236_2;Sabonete Francis Classico 90g Azul;Perfumaria E Beleza;2.89;Francis
70709406;https://savegnago.vteximg.com.br/arquivos/ids/449181_2;Salgadinho Batata Ruffles 50g Onda Mais Queijo;Mercearia;4.59;Elma Chips
70708048;https://savegnago.vteximg.com.br/arquivos/ids/308681_2;Máscara Facial Garnier Hidra Bomb Camomila;Perfumaria E Beleza;18.50;Garnier
70706707;https://savegnago.vteximg.com.br/arquivos/ids/290936_2;Contra File Bovino 4,500kg Peca Vacuo;Carnes;36.90;Friboi
70714427;https://savegnago.vteximg.com.br/arquivos/ids/276897_2;Resistencia Para Chuv Lorenzetti 220v;Bazar E Utilidades;5.98;Lorenzetti
70714035;https://savegnago.vteximg.com.br/arquivos/ids/265889_2;Pe Moleque Falex 130g Crocante;Mercearia;4.79;Falex
70707928;https://savegnago.vteximg.com.br/arquivos/ids/444148_2;Biscoito Nesfit 160g Laranja E Cenoura;Mercearia;2.69;Nesfit
70715532;https://savegnago.vteximg.com.br/arquivos/ids/264228_2;Lenco Papel Kleenex Com 50;Perfumaria E Beleza;5.19;Kleenex
70707321;https://savegnago.vteximg.com.br/arquivos/ids/448931_2;Pizza Seara Gourmet 450g Margherita;Frios E Congelados;25.78;Seara
70709997;https://savegnago.vteximg.com.br/arquivos/ids/292775_2;Vinho Português Terra Brava 750ml Tinto;Bebidas;57.90;Terra Brava
70708182;https://savegnago.vteximg.com.br/arquivos/ids/306186_2;Shampoo 200ml E Condicionador Head &Sholders170ml Detox Raiz;Perfumaria E Beleza;33.90;Head & Shoulders
70708991;https://savegnago.vteximg.com.br/arquivos/ids/303035_2;Prato Sobremesa Nadir Opaline Pétala;Bazar E Utilidades;7.58;Nadir
70714462;https://savegnago.vteximg.com.br/arquivos/ids/284779_2;Sabonete Liquido Palmolive 250ml Nutri Milk;Perfumaria E Beleza;6.99;Palmolive
70706219;https://savegnago.vteximg.com.br/arquivos/ids/289999_2;Açai Frooty 700ml Natural;Laticínios;19.90;Frooty
70708662;https://savegnago.vteximg.com.br/arquivos/ids/305647_2;Sorvete Skimoni 1,5l Flocos;Laticínios;19.98;Skimoni
70708157;https://savegnago.vteximg.com.br/arquivos/ids/305808_2;Complemento Alimentar Nutren 740g Senior Café Com Leite;Mercearia;119.90;Nutren
70704497;https://savegnago.vteximg.com.br/arquivos/ids/446874_2;Creme Dental Close Up Liquifresh 100g Ice;Perfumaria E Beleza;5.19;Closeup
70709512;https://savegnago.vteximg.com.br/arquivos/ids/445557_2;Pó Compacto Vult 9g Ilum Bronze;Perfumaria E Beleza;23.49;Vult
70714260;https://savegnago.vteximg.com.br/arquivos/ids/270200_2;Sorvete Pimpinella 2l Maracuja;Laticínios;21.90;Pimpeniella
70709509;https://savegnago.vteximg.com.br/arquivos/ids/445560_2;Pó Compacto Vult 9g Ilum Gold;Perfumaria E Beleza;23.49;Vult
70714319;https://savegnago.vteximg.com.br/arquivos/ids/283670_2;Apararelho Barbear Prestobarba 3 C/2 Feminino;Perfumaria E Beleza;15.90;Prestobarba
70703323;https://savegnago.vteximg.com.br/arquivos/ids/281253_2;Guard Pap Snob Gala F.D Gde;Bazar E Utilidades;8.75;Snob
70709365;https://savegnago.vteximg.com.br/arquivos/ids/447455_2;Sabonete Antibacteriano Protex 125g Limpeza Profunda Orig;Perfumaria E Beleza;3.29;Protex
70711349;https://savegnago.vteximg.com.br/arquivos/ids/280435_2;Farofa Pronta Angelica 250g Picante;Mercearia;3.29;Angelica
70710419;https://savegnago.vteximg.com.br/arquivos/ids/304079_2;Requeijão Bandeira 200g;Laticínios;6.39;Bandeira
70711194;https://savegnago.vteximg.com.br/arquivos/ids/288880_2;Oleo Eucalipto Sanol 120ml;Limpeza;14.90;Sanol
70709648;https://savegnago.vteximg.com.br/arquivos/ids/445370_2;Base Líquida Vult Alta Cobertura 26ml B05;Perfumaria E Beleza;38.90;Vult
70704123;https://savegnago.vteximg.com.br/arquivos/ids/446775_2;Shampoo Tresemmé 400ml Hidratação Profunda;Perfumaria E Beleza;11.90;Tresemmé
70712150;https://savegnago.vteximg.com.br/arquivos/ids/274586_2;Biscoito Wafer Triunfo 115g Choco Avela;Mercearia;2.79;Triunfo
70709187;https://savegnago.vteximg.com.br/arquivos/ids/297205_2;Desodorante Aerosol Dove 89g Fem Lavanda Flores Bcas;Perfumaria E Beleza;11.90;Dove
70710898;https://savegnago.vteximg.com.br/arquivos/ids/295373_2;Condicionador Dove 400ml Hidratacao Intensa Oxigenio;Perfumaria E Beleza;19.99;Dove
70710234;https://savegnago.vteximg.com.br/arquivos/ids/290662_2;Tintura Biocolor Mini Kit 6,6 Vermelho Intenso Vibrante;Perfumaria E Beleza;11.19;Biocolor
